config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
STORM2,SUS+PF,30037,18,-1327.8,75.44,68.32,0.4307,0.5582,3.974
STORM2,SUS+Random,30037,18,-479.6,77.3,71.6,0.4542,0.5348,3.977
STORM2,SU+PF,30037,18,-6606.4,53.41,46.17,0.299,0.6925,1.0
STORM2,SU+Random,30037,18,-7775.6,50.0,40.78,0.2668,0.7249,1.0
STORM2,SUS+PF,30038,29,-17397.7,66.63,44.59,0.1847,0.8073,4.0
STORM2,SUS+Random,30038,29,-15122.5,76.26,52.8,0.2179,0.7734,4.0
STORM2,SU+PF,30038,29,-19892.2,50.07,37.63,0.1568,0.8357,1.0
STORM2,SU+Random,30038,29,-21876.0,45.91,28.15,0.1219,0.8706,1.0
STORM2,SUS+PF,30039,20,-4505.7,72.59,61.5,0.3573,0.6332,3.999
STORM2,SUS+Random,30039,20,-3337.4,76.37,66.8,0.3861,0.6043,4.0
STORM2,SU+PF,30039,20,-8462.3,54.7,46.68,0.2735,0.7191,1.0
STORM2,SU+Random,30039,20,-11371.2,45.31,34.43,0.2065,0.7862,1.0
