world,baseline,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,acks_m2,acks_m3,acks_m4,units_m1,units_m2,units_m3,units_m4
global,SU+MW,10000,705.2638963326712,65.89053713752898,0.4923501379483321,0.5033860045146726,0.0,1.0,0.5430495824064691,0.9983723550770002,1.0016278487352868,0.001625,63.257714,7974,0,0,0,7987,0,0,0
global,SU+MW,10001,-344.27621709394595,61.404567837957224,0.44961841935066615,0.5454663044884233,0.0,1.0,0.6144544319398956,1.0,1.0,0.0,56.373822,8000,0,0,0,8000,0,0,0
global,SU+MW,10002,827.271757886678,55.00463500251988,0.4878680038822388,0.5074409576188935,0.0,1.0,0.7033154426337568,0.9996248593222459,1.0003751406777541,0.000375,48.688084,7994,0,0,0,7997,0,0,0
global,SU+MW,10003,-2078.812565175751,60.9062642947214,0.40327868852459015,0.5908665105386417,0.0,1.0,0.5546624657109271,0.9992494370778083,1.0007505629221916,0.00075,55.841218,7988,0,0,0,7994,0,0,0
global,SU+MW,10004,-3104.342174119499,71.28568822576169,0.3898927432602184,0.604792733597449,0.0,1.0,0.5729952945992715,0.9993746091307066,1.0006253908692933,0.000625,65.25295,7990,0,0,0,7995,0,0,0
global,SU+MW,10005,3505.4140851154557,39.21394348777536,0.7408249431633648,0.25820071451770055,0.0,1.0,0.8417698925041665,0.9997498123592694,1.0002501876407306,0.0002501250625312656,36.491806,7992,0,0,0,7994,0,0,0
global,SU+MW,10006,2249.6941731927855,42.971661946278985,0.5979778526721232,0.3993740972556572,0.0,1.0,0.6927621717918028,0.9996249062265566,1.0002500937851695,0.00025,40.049562,7995,0,0,0,7998,0,0,0
global,SU+MW,10007,1488.581334326541,53.968831406485066,0.5201353637901861,0.4764805414551607,0.0,1.0,0.7133477613260494,0.9984977466199298,1.0015022533800702,0.0015,49.340798,7976,0,0,0,7988,0,0,0
global,SU+EDF,10000,-12461.208431766172,14.110436229383076,0.08765989465763732,0.9050664660145473,0.0,1.0,0.45171795319816616,0.9932381667918858,1.0017618927762397,0.00175,11.033906,7932,0,0,0,7986,0,0,0
global,SU+EDF,10001,-9150.153327014734,25.501665952018552,0.16854223257017203,0.8252489975423619,0.0,1.0,0.6009061150568065,0.9927418345638843,1.0011332158146562,0.001125,20.459546,7933,0,0,0,7991,0,0,0
global,SU+EDF,10002,-6549.440983973085,22.93294887911981,0.1971853769006794,0.7969912649627953,0.0,1.0,0.642292341573397,0.9979989994997499,1.0003757985719655,0.0005,18.871992,7980,0,0,0,7996,0,0,0
global,SU+EDF,10003,-10580.716993345593,26.00707352930305,0.1576112412177986,0.8351288056206089,0.0,1.0,0.4808575300849769,0.9971239214705515,1.0003760812335465,0.000375,21.164624,7974,0,0,0,7997,0,0,0
global,SU+EDF,10004,-11863.289657248397,34.7316300308428,0.17914774374335685,0.8138950623248623,0.0,1.0,0.48435720394734755,0.9968726544908681,1.0007523510971787,0.00075,29.03127,7969,0,0,0,7994,0,0,0
global,SU+EDF,10005,865.765084227709,27.08533536638365,0.4975641442026632,0.49561545956479375,0.0,1.0,0.8675116300609387,0.9994998124296611,1.000375187593797,0.000375,23.9567,7993,0,0,0,7997,0,0,0
global,SU+EDF,10006,-3542.9388721840683,19.152786152151258,0.24049109292248436,0.7532498796340876,0.0,1.0,0.5923702175214698,0.9932330827067669,1.0023917421953676,0.0023752969121140144,15.98852,7926,0,0,0,7980,0,0,0
global,SU+EDF,10007,-6042.9608294454565,23.035560805867156,0.20575296108291033,0.7888324873096447,0.0,1.0,0.7140228379396176,0.9913447064726543,1.003279515640767,0.0035,18.874332,7903,0,0,0,7972,0,0,0
