world,baseline,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,acks_m2,acks_m3,acks_m4,units_m1,units_m2,units_m3,units_m4
betam,SU+Deadline-PF,10004,-1216.54259220507,77.09813862902578,0.41289013431249394,0.580539182529713,0.0,1.0,0.7537419930982874,0.9545801526717558,1.0181889557707406,0.0175,66.464402,7503,0,0,0,7860,0,0,0
betam,SU+Deadline-PF,10005,4205.090503844407,41.34003043636599,0.7983111399805132,0.20071451770055213,0.0,1.0,0.8945334065864743,0.9299986767235675,1.0582875519228192,0.05442942942942943,39.094868,7028,0,0,0,7557,0,0,0
betam,SU+Deadline-PF,10006,2483.995387197023,44.40652552204039,0.6061627347135291,0.39046701974000964,0.00048146364949446316,1.0,0.7326160693951804,0.9327188940092166,1.052730192719486,0.050625,40.50289,7084,0,0,0,7595,0,0,0
betam,SU+Deadline-PF,10007,3376.1912400804713,60.145862034036796,0.5920473773265651,0.4057529610829103,0.0,1.0,0.8021855284398923,0.9371421134825612,1.0417942233461999,0.0395,55.156084,7201,0,0,0,7684,0,0,0
betam,SU+PF,10000,-384.59917264148527,62.72639873757867,0.4558565337346376,0.5400050163029847,0.0,1.0,0.5806448315762627,0.9496290511518938,1.0416666666666667,0.039625,57.645736,7296,0,0,0,7683,0,0,0
betam,SU+PF,10001,736.7539732410842,67.82256977969107,0.47755788384426334,0.5177855387401371,0.0,1.0,0.744831074178348,0.9653573728267869,1.0304049683012033,0.029375,57.66436,7496,0,0,0,7765,0,0,0
betam,SU+PF,10002,2739.9187711932254,62.52837526175357,0.5658362989323843,0.4309285021028793,0.0,1.0,0.800701999103003,0.9596365996106424,1.0383814728077023,0.036875,54.866776,7394,0,0,0,7705,0,0,0
betam,SU+PF,10003,-1625.1095238181072,65.14335949481577,0.4104215456674473,0.5838407494145199,0.0,1.0,0.6751958138999342,0.9581009210014269,1.0379103699843668,0.036375,54.809396,7386,0,0,0,7709,0,0,0
betam,SU+PF,10004,-1369.4272629562977,81.00900949584242,0.42409894675814086,0.5707797854865204,0.0,1.0,0.7409738965736071,0.9711612407075109,1.025472790428406,0.02475,67.46604,7577,0,0,0,7802,0,0,0
betam,SU+PF,10005,4177.117182295355,41.326514796573655,0.7976615784345567,0.20168886001948685,0.0,1.0,0.8941275231283022,0.9280949839914621,1.0659237379162192,0.06147489670714912,39.113138,6957,0,0,0,7496,0,0,0
betam,SU+PF,10006,2508.307379091223,44.42409956964826,0.610255175734232,0.3863745787193067,0.0007221954742416948,1.0,0.7329007387549252,0.9327229299363057,1.0597294763626623,0.058,40.740642,7029,0,0,0,7536,0,0,0
